Entity,Field,Type,Required,PK,FK,References,Calculated,Description,Source,Status
Organization,id,UUID,YES,YES,NO,,NO,Unique organization identifier,MANAGER,PLANNED
Organization,name,TEXT,YES,NO,NO,,NO,Organization name,MANAGER,PLANNED
,,,,,,,,,,
League,id,UUID,YES,YES,NO,,NO,Unique league identifier,MANAGER,PLANNED
League,organization_id,UUID,YES,NO,YES,Organization.id,NO,Organization owning league,MANAGER,PLANNED
League,name,TEXT,YES,NO,NO,,NO,League name,MANAGER,PLANNED
League,description,TEXT,NO,NO,NO,,NO,League description,MANAGER,PLANNED
League,status,ENUM,YES,NO,NO,,NO,League status,MANAGER,PLANNED
,,,,,,,,,,
Division,id,UUID,YES,YES,NO,,NO,Unique division identifier,MANAGER,PLANNED
Division,league_id,UUID,YES,NO,YES,League.id,NO,League containing division,MANAGER,PLANNED
Division,name,TEXT,YES,NO,NO,,NO,Division name,MANAGER,PLANNED
Division,level,INTEGER,NO,NO,NO,,NO,Competitive level,MANAGER,PLANNED
,,,,,,,,,,
Competition,id,UUID,YES,YES,NO,,NO,Unique competition identifier,MANAGER,PLANNED
Competition,league_id,UUID,YES,NO,YES,League.id,NO,League containing competition,MANAGER,PLANNED
Competition,division_id,UUID,NO,NO,YES,Division.id,NO,Division containing competition,MANAGER,PLANNED
Competition,name,TEXT,YES,NO,NO,,NO,Competition name,MANAGER,PLANNED
Competition,type,ENUM,YES,NO,NO,,NO,Competition type,MANAGER,PLANNED
,,,,,,,,,,
Season,id,UUID,YES,YES,NO,,NO,Unique season identifier,HKS + MANAGER,ACTIVE
Season,competition_id,UUID,YES,NO,YES,Competition.id,NO,Competition for this season,MANAGER,ACTIVE
Season,name,TEXT,YES,NO,NO,,NO,Season name,HKS + MANAGER,ACTIVE
Season,start_date,DATE,NO,NO,NO,,NO,Season start date,MANAGER,ACTIVE
Season,end_date,DATE,NO,NO,NO,,NO,Season end date,MANAGER,ACTIVE
Season,status,ENUM,YES,NO,NO,,NO,Season status,MANAGER,ACTIVE
,,,,,,,,,,
Team,id,UUID,YES,YES,NO,,NO,Unique team identifier,HKS + MANAGER,ACTIVE
Team,name,TEXT,YES,NO,NO,,NO,Team name,HKS,ACTIVE
Team,short_name,TEXT,NO,NO,NO,,NO,Short team name,MANAGER,ACTIVE
Team,logo_url,TEXT,NO,NO,NO,,NO,Team logo,MANAGER,ACTIVE
Team,description,TEXT,NO,NO,NO,,NO,Team description,MANAGER,ACTIVE
,,,,,,,,,,
TeamSeason,id,UUID,YES,YES,NO,,NO,Unique team-season relationship,MANAGER,PLANNED
TeamSeason,team_id,UUID,YES,NO,YES,Team.id,NO,Team,MANAGER,PLANNED
TeamSeason,season_id,UUID,YES,NO,YES,Season.id,NO,Season,MANAGER,PLANNED
TeamSeason,division_id,UUID,NO,NO,YES,Division.id,NO,Division,MANAGER,PLANNED
TeamSeason,status,ENUM,YES,NO,NO,,NO,Team participation status,MANAGER,PLANNED
,,,,,,,,,,
Player,id,UUID,YES,YES,NO,,NO,Unique player identifier,HKS + MANAGER,ACTIVE
Player,name,TEXT,YES,NO,NO,,NO,Player name,HKS,ACTIVE
Player,first_name,TEXT,NO,NO,NO,,NO,Player first name,MANAGER,ACTIVE
Player,last_name,TEXT,NO,NO,NO,,NO,Player last name,MANAGER,ACTIVE
Player,position,ENUM,YES,NO,YES,Position.id,NO,Player position,HKS + MANAGER,ACTIVE
Player,jersey_number,INTEGER,NO,NO,NO,,NO,Player jersey number,HKS,ACTIVE
Player,date_of_birth,DATE,NO,NO,NO,,NO,Date of birth,MANAGER,ACTIVE
Player,nationality,TEXT,NO,NO,NO,,NO,Player nationality,MANAGER,ACTIVE
Player,photo_url,TEXT,NO,NO,NO,,NO,Player photo,HKS,ACTIVE
Player,bio,TEXT,NO,NO,NO,,NO,Player biography,HKS,ACTIVE
Player,status,ENUM,YES,NO,NO,,NO,Player status,MANAGER,ACTIVE
,,,,,,,,,,
PlayerTeam,id,UUID,YES,YES,NO,,NO,Player-team relationship,MANAGER,PLANNED
PlayerTeam,player_id,UUID,YES,NO,YES,Player.id,NO,Player,MANAGER,PLANNED
PlayerTeam,team_id,UUID,YES,NO,YES,Team.id,NO,Team,MANAGER,PLANNED
PlayerTeam,start_date,DATE,NO,NO,NO,,NO,Start of team membership,MANAGER,PLANNED
PlayerTeam,end_date,DATE,NO,NO,NO,,NO,End of team membership,MANAGER,PLANNED
PlayerTeam,status,ENUM,YES,NO,NO,,NO,Membership status,MANAGER,PLANNED
,,,,,,,,,,
PlayerSeason,id,UUID,YES,YES,NO,,NO,Player-season relationship,MANAGER,PLANNED
PlayerSeason,player_id,UUID,YES,NO,YES,Player.id,NO,Player,MANAGER,PLANNED
PlayerSeason,season_id,UUID,YES,NO,YES,Season.id,NO,Season,MANAGER,PLANNED
PlayerSeason,team_id,UUID,YES,NO,YES,Team.id,NO,Team representing player in season,MANAGER,PLANNED
,,,,,,,,,,
Position,id,UUID,YES,YES,NO,,NO,Unique position identifier,MANAGER,PLANNED
Position,code,TEXT,YES,NO,NO,,NO,Position code,MANAGER,PLANNED
Position,name,TEXT,YES,NO,NO,,NO,Position name,MANAGER,PLANNED
,,,,,,,,,,
Location,id,UUID,YES,YES,NO,,NO,Unique location identifier,MANAGER,PLANNED
Location,name,TEXT,YES,NO,NO,,NO,Location name,MANAGER,PLANNED
Location,address,TEXT,NO,NO,NO,,NO,Location address,MANAGER,PLANNED
Location,city,TEXT,NO,NO,NO,,NO,Location city,MANAGER,PLANNED
Location,country,TEXT,NO,NO,NO,,NO,Location country,MANAGER,PLANNED
,,,,,,,,,,
Game,id,UUID,YES,YES,NO,,NO,Unique game identifier,HKS + MANAGER,ACTIVE
Game,season_id,UUID,YES,NO,YES,Season.id,NO,Season,HKS + MANAGER,ACTIVE
Game,home_team_id,UUID,YES,NO,YES,Team.id,NO,Our team,HKS + MANAGER,ACTIVE
Game,away_team_id,UUID,YES,NO,YES,Team.id,NO,Opponent name,HKS,ACTIVE
Game,date,DATETIME,YES,NO,NO,,NO,Game date,HKS,ACTIVE
Game,location_id,UUID,YES,NO,YES,Location.id,NO,Location,MANAGER,PLANNED
Game,team_score,INTEGER,NO,NO,NO,,NO,Team score,HKS,ACTIVE
Game,opponent_score,INTEGER,NO,NO,NO,,NO,Opponent score,HKS,ACTIVE
Game,is_final,BOOLEAN,NO,NO,NO,,NO,Whether game is final,HKS,ACTIVE
Game,is_overtime,BOOLEAN,NO,NO,NO,,NO,Whether game went to overtime,HKS,ACTIVE
Game,is_shootout,BOOLEAN,NO,NO,NO,,NO,Whether game went to shootout,HKS,ACTIVE
Game,shots_for,INTEGER,NO,NO,NO,,NO,Shots by team,HKS,ACTIVE
Game,shots_against,INTEGER,NO,NO,NO,,NO,Shots against team,HKS,ACTIVE
Game,video_url,TEXT,NO,NO,NO,,NO,Game video URL,HKS,ACTIVE
Game,status,ENUM,YES,NO,NO,,NO,Game status,MANAGER,ACTIVE
,,,,,,,,,,ACTIVE
GamePlayer,id,UUID,YES,YES,NO,,NO,Unique participation identifier,HKS,ACTIVE
GamePlayer,game_id,UUID,YES,NO,YES,Game.id,NO,Game,HKS,ACTIVE
GamePlayer,player_id,UUID,YES,NO,YES,Player.id,NO,Player,HKS,ACTIVE
GamePlayer,checked_in,BOOLEAN,NO,NO,NO,,NO,Speler is ingecheckt,MANAGER,ACTIVE
,,,,,,,,,,ACTIVE
GoalEvent,id,UUID,YES,YES,NO,,NO,Unique goal event identifier,HKS,ACTIVE
GoalEvent,game_id,UUID,YES,NO,YES,Game.id,NO,Game,HKS,ACTIVE
GoalEvent,scorer_player_id,UUID,YES,NO,YES,Player.id,NO,Goal scorer,HKS,ACTIVE
GoalEvent,assist_player_id,UUID,NO,NO,YES,Player.id,NO,First assist,HKS,ACTIVE
GoalEvent,assist2_player_id,UUID,NO,NO,YES,Player.id,NO,Second assist,HKS,ACTIVE
GoalEvent,is_power_play,BOOLEAN,NO,NO,NO,,NO,Power play goal,HKS,ACTIVE
GoalEvent,is_short_handed,BOOLEAN,NO,NO,NO,,NO,Short-handed goal,HKS,ACTIVE
GoalEvent,period,INTEGER,NO,NO,NO,,NO,Period of goal,MANAGER,ACTIVE
GoalEvent,time,TEXT,NO,NO,NO,,NO,Time in period,MANAGER,ACTIVE
,,,,,,,,,,ACTIVE
Penalty,id,UUID,YES,YES,NO,,NO,Unique penalty identifier,HKS,ACTIVE
Penalty,game_id,UUID,YES,NO,YES,Game.id,NO,Game,HKS,ACTIVE
Penalty,player_id,UUID,YES,NO,YES,Player.id,NO,Player,HKS,ACTIVE
Penalty,penalty_type,ENUM,YES,NO,NO,,NO,Penalty type,HKS,ACTIVE
Penalty,period,INTEGER,NO,NO,NO,,NO,Period of penalty,MANAGER,ACTIVE
Penalty,duration,INTEGER,NO,NO,NO,,NO,Penalty duration in minutes,MANAGER,ACTIVE
,,,,,,,,,,
GamePeriod,id,UUID,YES,YES,NO,,NO,Unique game period,MANAGER,PLANNED
GamePeriod,game_id,UUID,YES,NO,YES,Game.id,NO,Game,MANAGER,PLANNED
GamePeriod,period_number,INTEGER,YES,NO,NO,,NO,Period number,MANAGER,PLANNED
GamePeriod,status,ENUM,YES,NO,NO,,NO,Period status,MANAGER,PLANNED
,,,,,,,,,,
GoalieAppearance,id,UUID,YES,YES,NO,,NO,Unique goalie appearance,MANAGER,PLANNED
GoalieAppearance,game_id,UUID,YES,NO,YES,Game.id,NO,Game,MANAGER,PLANNED
GoalieAppearance,player_id,UUID,YES,NO,YES,Player.id,NO,Goalie,MANAGER,PLANNED
GoalieAppearance,shots_against,INTEGER,NO,NO,NO,,NO,Shots against goalie,MANAGER,PLANNED
GoalieAppearance,saves,INTEGER,NO,NO,NO,,NO,Saves,MANAGER,PLANNED
GoalieAppearance,goals_against,INTEGER,NO,NO,NO,,NO,Goals against,MANAGER,PLANNED
,,,,,,,,,,
PlayerGameStats,id,UUID,YES,YES,NO,,NO,Unique player game statistics,MANAGER,PLANNED
PlayerGameStats,game_id,UUID,YES,NO,YES,Game.id,NO,Game,MANAGER,PLANNED
PlayerGameStats,player_id,UUID,YES,NO,YES,Player.id,NO,Player,MANAGER,PLANNED
PlayerGameStats,goals,INTEGER,NO,NO,NO,,YES,Goals in game,MANAGER,PLANNED
PlayerGameStats,assists,INTEGER,NO,NO,NO,,YES,Assists in game,MANAGER,PLANNED
PlayerGameStats,points,INTEGER,NO,NO,NO,,YES,Goals plus assists,MANAGER,PLANNED
PlayerGameStats,plus_minus,INTEGER,NO,NO,NO,,YES,Plus/minus,MANAGER,PLANNED
,,,,,,,,,,
TeamGameStats,id,UUID,YES,YES,NO,,NO,Unique team game statistics,MANAGER,PLANNED
TeamGameStats,game_id,UUID,YES,NO,YES,Game.id,NO,Game,MANAGER,PLANNED
Tournament,is_public,BOOLEAN,NO,NO,NO,,NO,Toernooi is openbaar,MANAGER,PLANNED
TeamGameStats,shots_for,INTEGER,NO,NO,NO,,NO,Shots for,MANAGER,PLANNED
TeamGameStats,shots_against,INTEGER,NO,NO,NO,,NO,Shots against,MANAGER,PLANNED
TeamGameStats,goals_for,INTEGER,NO,NO,NO,,YES,Goals for,MANAGER,PLANNED
TeamGameStats,goals_against,INTEGER,NO,NO,NO,,YES,Goals against,MANAGER,PLANNED
,,,,,,,,,,
Tournament,id,UUID,YES,YES,NO,,NO,Unique tournament identifier,HKS + MANAGER,ACTIVE
Tournament,name,TEXT,YES,NO,NO,,NO,Tournament name,HKS,ACTIVE
Tournament,description,TEXT,NO,NO,NO,,NO,Tournament description,HKS,ACTIVE
Tournament,status,ENUM,YES,NO,NO,,NO,Tournament status,HKS,ACTIVE
Tournament,start_date,DATE,NO,NO,NO,,NO,Tournament start date,MANAGER,PLANNED
Tournament,end_date,DATE,NO,NO,NO,,NO,Tournament end date,MANAGER,PLANNED
,,,,,,,,,,
TournamentPool,id,UUID,YES,YES,NO,,NO,Unique tournament pool,HKS,ACTIVE
TournamentPool,tournament_id,UUID,YES,NO,YES,Tournament.id,NO,Tournament,HKS,ACTIVE
TournamentPool,name,TEXT,YES,NO,NO,,NO,Pool name,HKS,ACTIVE
,,,,,,,,,,ACTIVE
TournamentTeam,id,UUID,YES,YES,NO,,NO,Unique tournament team relationship,HKS,ACTIVE
TournamentTeam,tournament_id,UUID,YES,NO,YES,Tournament.id,NO,Tournament,HKS,ACTIVE
TournamentTeam,team_id,UUID,YES,NO,YES,Team.id,NO,Participating team,HKS,ACTIVE
,,,,,,,,,,ACTIVE
